  0.745045E-04  0.197110E+08  0.197110E+08  0.255927E+08  0.255917E+08  0.197101E+08  0.197110E+08
  0.829624E-04  0.197105E+08  0.197105E+08  0.254295E+08  0.254282E+08  0.197094E+08  0.197105E+08
  0.923803E-04  0.197100E+08  0.197100E+08  0.252283E+08  0.252268E+08  0.197086E+08  0.197100E+08
  0.102867E-03  0.197094E+08  0.197094E+08  0.249810E+08  0.249791E+08  0.197075E+08  0.197093E+08
  0.114545E-03  0.197086E+08  0.197086E+08  0.246773E+08  0.246750E+08  0.197062E+08  0.197085E+08
  0.127548E-03  0.197076E+08  0.197076E+08  0.243056E+08  0.243028E+08  0.197046E+08  0.197075E+08
  0.142028E-03  0.197063E+08  0.197063E+08  0.238517E+08  0.238483E+08  0.197026E+08  0.197063E+08
  0.158151E-03  0.197048E+08  0.197048E+08  0.232998E+08  0.232957E+08  0.197002E+08  0.197048E+08
  0.176104E-03  0.197029E+08  0.197029E+08  0.226317E+08  0.226268E+08  0.196971E+08  0.197029E+08
  0.196096E-03  0.197006E+08  0.197006E+08  0.218277E+08  0.218220E+08  0.196933E+08  0.197006E+08
  0.218356E-03  0.196978E+08  0.196977E+08  0.208674E+08  0.208608E+08  0.196887E+08  0.196977E+08
  0.243144E-03  0.196942E+08  0.196942E+08  0.197309E+08  0.197232E+08  0.196829E+08  0.196942E+08
  0.270746E-03  0.196899E+08  0.196899E+08  0.184012E+08  0.183925E+08  0.196758E+08  0.196898E+08
  0.301482E-03  0.196846E+08  0.196846E+08  0.168680E+08  0.168585E+08  0.196671E+08  0.196845E+08
  0.335706E-03  0.196781E+08  0.196781E+08  0.151324E+08  0.151225E+08  0.196564E+08  0.196780E+08
  0.373816E-03  0.196703E+08  0.196702E+08  0.132134E+08  0.132034E+08  0.196433E+08  0.196701E+08
  0.416252E-03  0.196607E+08  0.196606E+08  0.111542E+08  0.111448E+08  0.196272E+08  0.196605E+08
  0.463505E-03  0.196491E+08  0.196491E+08  0.902865E+07  0.902078E+07  0.196076E+08  0.196488E+08
  0.516122E-03  0.196351E+08  0.196351E+08  0.694348E+07  0.693803E+07  0.195838E+08  0.196348E+08
  0.574713E-03  0.196185E+08  0.196184E+08  0.503176E+07  0.502948E+07  0.195550E+08  0.196181E+08
  0.639955E-03  0.195986E+08  0.195986E+08  0.343354E+07  0.343461E+07  0.195202E+08  0.195981E+08
  0.712603E-03  0.195753E+08  0.195752E+08  0.225980E+07  0.226349E+07  0.194784E+08  0.195746E+08
  0.793498E-03  0.195479E+08  0.195478E+08  0.154546E+07  0.154996E+07  0.194285E+08  0.195471E+08
  0.883577E-03  0.195161E+08  0.195160E+08  0.121134E+07  0.121424E+07  0.193692E+08  0.195151E+08
