  0.792602E-04  0.224081E+08  0.224081E+08  0.289857E+08  0.289845E+08  0.224067E+08  0.224081E+08
  0.882578E-04  0.224076E+08  0.224076E+08  0.287749E+08  0.287734E+08  0.224059E+08  0.224076E+08
  0.982769E-04  0.224071E+08  0.224071E+08  0.285154E+08  0.285135E+08  0.224049E+08  0.224071E+08
  0.109433E-03  0.224065E+08  0.224065E+08  0.281966E+08  0.281944E+08  0.224036E+08  0.224064E+08
  0.121856E-03  0.224057E+08  0.224057E+08  0.278059E+08  0.278031E+08  0.224020E+08  0.224056E+08
  0.135690E-03  0.224046E+08  0.224046E+08  0.273283E+08  0.273249E+08  0.224000E+08  0.224046E+08
  0.151093E-03  0.224034E+08  0.224034E+08  0.267465E+08  0.267425E+08  0.223976E+08  0.224034E+08
  0.168245E-03  0.224019E+08  0.224019E+08  0.260409E+08  0.260361E+08  0.223945E+08  0.224018E+08
  0.187345E-03  0.224000E+08  0.224000E+08  0.251898E+08  0.251840E+08  0.223908E+08  0.223999E+08
  0.208612E-03  0.223976E+08  0.223976E+08  0.241699E+08  0.241632E+08  0.223861E+08  0.223976E+08
  0.232294E-03  0.223947E+08  0.223947E+08  0.229581E+08  0.229503E+08  0.223804E+08  0.223947E+08
  0.258664E-03  0.223912E+08  0.223912E+08  0.215334E+08  0.215246E+08  0.223733E+08  0.223911E+08
  0.288028E-03  0.223868E+08  0.223868E+08  0.198805E+08  0.198708E+08  0.223646E+08  0.223867E+08
  0.320725E-03  0.223814E+08  0.223814E+08  0.179948E+08  0.179843E+08  0.223538E+08  0.223812E+08
  0.357134E-03  0.223748E+08  0.223748E+08  0.158889E+08  0.158781E+08  0.223406E+08  0.223746E+08
  0.397676E-03  0.223668E+08  0.223667E+08  0.136000E+08  0.135896E+08  0.223243E+08  0.223665E+08
  0.442821E-03  0.223569E+08  0.223569E+08  0.111981E+08  0.111889E+08  0.223042E+08  0.223566E+08
  0.493090E-03  0.223450E+08  0.223449E+08  0.878989E+07  0.878290E+07  0.222797E+08  0.223445E+08
  0.549066E-03  0.223305E+08  0.223304E+08  0.651694E+07  0.651307E+07  0.222497E+08  0.223300E+08
  0.611397E-03  0.223130E+08  0.223129E+08  0.453957E+07  0.453930E+07  0.222132E+08  0.223124E+08
  0.680803E-03  0.222920E+08  0.222919E+08  0.300347E+07  0.300646E+07  0.221688E+08  0.222912E+08
  0.758088E-03  0.222669E+08  0.222669E+08  0.198941E+07  0.199416E+07  0.221151E+08  0.222660E+08
  0.844147E-03  0.222371E+08  0.222370E+08  0.146168E+07  0.146577E+07  0.220503E+08  0.222359E+08
  0.939975E-03  0.222018E+08  0.222016E+08  0.125013E+07  0.125125E+07  0.219724E+08  0.222003E+08
  0.104668E-02  0.221601E+08  0.221600E+08  0.110865E+07  0.110639E+07  0.218792E+08  0.221583E+08
  0.116550E-02  0.221112E+08  0.221110E+08  0.857634E+06  0.854486E+06  0.217687E+08  0.221090E+08
  0.129781E-02  0.220538E+08  0.220536E+08  0.520931E+06  0.520460E+06  0.216371E+08  0.220512E+08
  0.144514E-02  0.219869E+08  0.219866E+08  0.285014E+06  0.287395E+06  0.214819E+08  0.219837E+08
  0.160919E-02  0.219090E+08  0.219087E+08  0.237280E+06  0.238243E+06  0.213000E+08  0.219052E+08
  0.179187E-02  0.218187E+08  0.218183E+08  0.215834E+06  0.213881E+06  0.210885E+08  0.218141E+08
  0.199528E-02  0.217144E+08  0.217139E+08  0.107296E+06  0.107293E+06  0.208445E+08  0.217088E+08
  0.222179E-02  0.215943E+08  0.215936E+08  0.608318E+05  0.620956E+05  0.205658E+08  0.215877E+08
  0.247401E-02  0.214566E+08  0.214558E+08  0.668663E+05  0.646468E+05  0.202505E+08  0.214489E+08
  0.275486E-02  0.212994E+08  0.212984E+08  0.196620E+05  0.177907E+05  0.198974E+08  0.212905E+08
  0.306760E-02  0.211208E+08  0.211196E+08  0.303609E+05  0.244249E+05  0.195059E+08  0.211105E+08
  0.341583E-02  0.209189E+08  0.209175E+08  0.391917E+04  0.171738E+04  0.190752E+08  0.209071E+08
  0.380360E-02  0.206917E+08  0.206899E+08  0.718457E+04  0.743196E+04  0.186046E+08  0.206783E+08
  0.423539E-02  0.204374E+08  0.204352E+08 -0.123933E+04 -0.193531E+04  0.180922E+08  0.204223E+08
  0.471619E-02  0.201541E+08  0.201515E+08 -0.521197E+04 -0.485066E+04  0.175360E+08  0.201373E+08
  0.525158E-02  0.198401E+08  0.198368E+08  0.000000E+00  0.000000E+00  0.169338E+08  0.198214E+08
  0.530835E-02  0.198070E+08  0.198036E+08  0.000000E+00  0.000000E+00  0.168710E+08  0.197880E+08
  0.536574E-02  0.197735E+08  0.197700E+08  0.000000E+00  0.000000E+00  0.168077E+08  0.197543E+08
  0.542375E-02  0.197397E+08  0.197362E+08  0.000000E+00  0.000000E+00  0.167440E+08  0.197203E+08
  0.548238E-02  0.197055E+08  0.197019E+08  0.000000E+00  0.000000E+00  0.166798E+08  0.196860E+08
  0.554165E-02  0.196710E+08  0.196674E+08  0.000000E+00  0.000000E+00  0.166151E+08  0.196513E+08
  0.560156E-02  0.196362E+08  0.196325E+08  0.000000E+00  0.000000E+00  0.165499E+08  0.196163E+08
  0.566211E-02  0.196011E+08  0.195973E+08  0.000000E+00  0.000000E+00  0.164843E+08  0.195809E+08
  0.572333E-02  0.195656E+08  0.195617E+08  0.000000E+00  0.000000E+00  0.164182E+08  0.195452E+08
  0.578520E-02  0.195298E+08  0.195258E+08  0.000000E+00  0.000000E+00  0.163516E+08  0.195092E+08
